title,authors,year,keywords,document_type,source,source_file,doi,journal,document_type_enhanced,repository
Online reinforcement learning-based inventory control for intelligent E-Fulfilment dealing with nonstationary demand,Mo D.Y.; Tsang Y.P.; Wang Y.; Xu W.,2024,inventory policy; nonstationary demand; online optimal control; Reinforcement learning; supply chain,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1080/17517575.2023.2284427,Enterprise Information Systems,Article,
A Multi-Criteria Decision Intelligence Framework to Predict Fire Danger Ratings in Underground Engineering Structures,Kamran M.; Chaudhry W.; Wattimena R.K.; Rehman H.; Martyushev D.A.,2023,coal; fuzzy c-means clustering algorithm; ISOMAP; KNN; safety; underground fire,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.3390/fire6110412,Fire,Article,
Stochastic Inventory Optimization with Coherent Risk Measures: A Decision-Theoretic Framework for Probabilistic Forecasting and Constrained Optimization,Ngartera L.; Nadarajah S.; Koina R.; Gningue Y.,2026,Conditional Value-at-Risk; Decision Intelligence; inventory optimization; newsvendor problem; quantile regression,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.3390/jrfm19030173,Journal of Risk and Financial Management,Article,
"Towards Explainable Agentic Intelligence: A LangGraph-MCP Hybrid Framework for Scalable, Fair, and Self-Improving Multi-Agent Systems",Panchal D.; Gole A.; Jani C.; Karekar T.; Narute V.; Vartak R.,2026,Agentic AI; Context-Aware Communication; Graph-Based Architecture; Model Context Protocol (MCP); Workflow Orchestration,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/IC3ET64989.2026.11467510,"2026 International Conference on Communication, Computing and Emerging Technologies, IC3ET 2026",Conference paper,
Semantic Data Virtualization for Real-Time HR Decision Intelligence in Agile Enterprises,Kolli N.; Thipi Reddy B.R.; Mishra A.; Jayakumar S.,2025,Agile Enterprise; HR Decision Intelligence; Ontology-Driven Integration; Real-Time Analytics; Semantic Data Virtualization,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/ICCA66035.2025.11431028,"International Conference on Computer and Applications, ICCA 2025 - Proceedings",Conference paper,
Creating Meaningful Intelligence for Decision-Making by Modelling Complexities of Human Influence: Review and Position,Pina P.; Neves-Silva R.,2022,Decision intelligence; Design thinking; Digital twins; Enterprise architecture; Human-in-the-loop; Strategic decision-making,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1007/978-3-031-07520-9_4,IFIP Advances in Information and Communication Technology,Conference paper,
Human–AI Co-Intelligence in Smart SMEs: Integrating Generative AI and ERP-Driven Decision Intelligence in Taiwan’s Precision Manufacturing Sector,Chu K.-M.,2026,Decision intelligence; ERP systems; Generative AI; Human–AI collaboration; Managerial intuition; SMEs; Trust calibration,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1016/j.eswa.2026.132373,Expert Systems with Applications,Article,
Visual cluster analysis in support of clinical decision intelligence.,Gotz D.; Sun J.; Cao N.; Ebadollahi S.,2011,,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,,AMIA ... Annual Symposium proceedings / AMIA Symposium. AMIA Symposium,Article,
From the Classroom to Journal Publication: A Guide to Publishing Accounting Instructional Pedagogical Resources,Taylor S.; Cross B.; Nissen A.; McGregor J.; Richards N.,2025,accounting education; accounting research; cases; instructional resources; professional training; structured literature review,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.2308/ISSUES-2023-026,Issues in Accounting Education,Article,
Artificial intelligence (AI) in diagnostic and therapeutic decision-making—a tool or communication partner?; [Künstliche Intelligenz (KI) bei Diagnostik- und Therapieentscheidungen – Einsatz als Werkzeug oder als Kommunikationspartner?],Wenderlein J.M.,2024,Data protection; Decision intelligence; Functional imaging; Guidelines; Problem solving,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1007/s00120-024-02381-9,Urologie,Article,
The Rise of Artificial Intelligence Agents in Medical Sciences,Gupta V.K.; Jain P.; Agarwal S.; Anupriya; Gupta A.; Anand D.,2026,AI Agents; AI-ML; Bioinformatics; Drug Discovery; Medical Science,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1007/978-3-032-10940-8_10,Lecture Notes in Networks and Systems,Conference paper,
Synthetic Time Series Generation for Decision Intelligence Using Large Language Models,Grigoraș A.; Leon F.,2024,decision intelligence; large language models; synthetic data; time series; transformer architecture,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.3390/math12162494,Mathematics,Article,
"THE INTERACTION BETWEEN RATIONALITY, POLITICS AND ARTIFICIAL INTELLIGENCE IN THE DECISION-MAKING PROCESS",Gouiaa R.; Bazarna A.,2023,Artificial Intelligence; Decision-Making Process; IT Governance; Politics; Rationality,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.22495/cgobrv7i4sip4,Corporate Governance and Organizational Behavior Review,Article,
"Decision Intelligence and Analytics for Online Marketplaces: Jobs, Ridesharing, Retail and Beyond",Qin Z.; Hong L.; Song R.; Zhu H.; Korayem M.; Luo H.; Jordan M.I.,2022,data science; decision intelligence; machine learning; marketplace; on-demand platform; online experiments; online job marketplace; optimization,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1145/3534678.3542895,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,Conference paper,
Agentic AI-Driven Decision Orchestration System for Real-Time Project Coordination,Harini P.; Thota B.; Shamim; Mallik B.; Kandi V.S.P.; Chakravarthi M.K.,2025,Agentic AI; Decision Orchestration; Digital Twin Simulation; Knowledge Graphs; Multi-Agent Reinforcement Learning; Project Coordination,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/ICECONF65644.2025.11379478,Proceedings ICECONF 2025 - 2025 2nd International Conference on Artificial Intelligence and Knowledge Discovery in Concurrent Engineering,Conference paper,
Decision intelligence in street lighting management,Nunes D.; Teixeira D.; Carneiro D.; Sousa C.; Novais P.,2020,Energy management; Intelligent system; Smart cities,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1007/978-3-030-45691-7_47,Advances in Intelligent Systems and Computing,Conference paper,
A MARL-Based Approach to Intelligent Strategic Decision-Making for Air-Sea Confrontation,Li S.; Su J.; Shi Q.; Chen S.,2024,Decision intelligence; Multi-agent reinforcement learning; Sea air confrontation; Wargame,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1007/978-981-99-9021-4_44,Lecture Notes in Electrical Engineering,Conference paper,
Bringing advanced technology to strategic decision-making: The Decision Intelligence/Data Science (DI/DS) Integration framework,Pratt L.; Bisson C.; Warin T.,2023,Artificial intelligence; Complexity; Corporate foresight; Decision intelligence; Kahneman's systems thinking; Strategic decision making,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1016/j.futures.2023.103217,Futures,Article,
Navigating Digitalisation and Sustainability in Seaports: A Business Intelligence and Data Science Framework,Rios B.; Videira C.; Filipe S.,2026,Business intelligence; Data science; Seaports; Strategies; Supply chain management; Sustainability,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1007/978-3-032-16288-5_6,"Smart Innovation, Systems and Technologies",Conference paper,
Enhancing transportation agility through neuroadaptive AI and behavioural decision intelligence,Humdan E.A.,2025,Behavioral decision-making; Cognitive-aware transport resilience; Human-centric mobility systems; Neuroadaptive AI; Transportation agility,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1016/j.trip.2025.101468,Transportation Research Interdisciplinary Perspectives,Article,
Overview of Game Decision Intelligence,Wang K.; Bai D.,2023,artificial intelligence; game decision intelligence; imperfect information games; poker,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/ICICN59530.2023.10392489,"ICICN 2023 - 2023 IEEE 11th International Conference on Information, Communication and Networks",Conference paper,
Leveraging digital twin for COVID-19 risk assessment in IoT-enhanced hospital pharmacies,Jayaprakash D.S.; Devidas A.R.; Ramesh M.V.,2026,Airborne contagious disease; Dynamic risk assessment; Machine learning; Public health; Warning dissemination,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1016/j.jnlssr.2025.100246,Journal of Safety Science and Resilience,Article,
From Report Painter to SAP Business Data Cloud: A Technical Evolution of SAP Analytics Solutions Review,De Castro Fialho F.; Banothu G.R.,2025,Business Warehouse (BW); Cloud Data Warehousing; Data Strategy; ERP; HANA; OLAP; SAP Analytics,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/ICDSINC66221.2025.11448162,"1st IEEE International Conference on Data Science and Intelligent Network Computing, ICDSINC 2025",Conference paper,
Brain-Inspired Parallel Data Intelligence: a Generality-Specificity Fused Approach,Meng L.; Zhang W.; Xu F.; Han L.; Guo S.; Chen T.; Liu Y.; Zhang B.; Wang S.; Zhang H.; Wang F.-Y.,2025,Brain-Inspired Parallel Data Intelligence; Large-Small Model Collaboration; Parallel Data; Trusted Federated Model Factory,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/MESA68091.2025.11278866,"2025 IEEE International Conference on Mechatronic and Embedded Systems and Applications, MESA 2025",Conference paper,
Research on the Model for System Safety & Security Resilience from a Perspective of Safety & Security Intelligence; [安全情报视域下系统安全韧性模型研究],Wang B.; Qi M.; Shi Z.,2024,resilience; safety & security intelligence; safety & security resilience; safety & security threat; system safety & security,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.16353/j.cnki.1000-7490.2024.12.009,Information studies: Theory and Application,Article,
Decision Intelligence-Based Predictive Modelling of Hard Rock Pillar Stability Using K-Nearest Neighbour Coupled with Grey Wolf Optimization Algorithm,Kamran M.; Chaudhry W.; Taiwo B.O.; Hosseini S.; Rehman H.,2024,decision-making; grey wolf optimization; KNN; pillar stability; safety; underground structures,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.3390/pr12040783,Processes,Article,
IMet: Interactive metric learning in healthcare applications,Wang F.; Sun J.; Hu J.; Ebadollahi S.,2011,,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1137/1.9781611972818.81,"Proceedings of the 11th SIAM International Conference on Data Mining, SDM 2011",Conference paper,
AI-Empowered Policy for Science & Technology Decision Intelligence —Developing New Quality Productive Forces for Knowledge Services; [AI 赋能的 P4ST 决策智能分析：寻找知识服务的新质生产力],Xiaolin Z.,2024,AI; AI for P4ST Chain of Analyses; Decision-making Genomic Model; Knowledge Services; New Quality Productive Forces Decision Intelligence; Policy for Science and Technology,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.11925/infotech.2096-3467.2024.0188,Data Analysis and Knowledge Discovery,Article,
Hierarchical mental-states reasoning with dynamic fusion world models for imperfect multi-unmanned aerial vehicle cooperative-competitive environments,Cheng J.; Li N.; Dong C.; Tang C.,2026,Hierarchical reasoning; Multi-unmanned aerial vehicle game; Opponent modeling; World-model-based multi-agent reinforcement learning,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1016/j.engappai.2026.114402,Engineering Applications of Artificial Intelligence,Article,
Governed Decision Intelligence in Islamic Finance: A Bibliometric and Network Analysis of Machine Learning and Sustainable Finance,Al Mubarak H.; Al-Shammari M.; Marhoon W.,2025,ESG Finance; Explainable AI (XAI); Governed Decision Intelligence (GDI); Islamic Ethical AI; Maqasid al-Shariah; Sustainable FinTech,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/SIBF68061.2025.11455294,"2025 5th International Conference on Sustainable Islamic Business and Finance, SIBF 2025",Conference paper,
Generating and Optimizing What-If Scenarios Using a Transformers-Based Forecasting Model,Grigoras A.; Leon F.,2025,decision intelligence; demand forecasting; transformers; what-if scenarios,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/ICSTCC66753.2025.11240464,"2025 29th International Conference on System Theory, Control and Computing, ICSTCC 2025 - Proceedings",Conference paper,
Knowledge-based decision intelligence in street lighting management,Sousa C.; Teixeira D.; Carneiro D.; Nunes D.; Novais P.,2022,decision intelligence; Energy efficiency; hybrid systems; machine learning; ontology; public lighting; semantic reasoning,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.3233/ICA-210671,Integrated Computer-Aided Engineering,Article,
IDI to Enhance the Longevity of the Knowledge Bases Established on Scoring Systems,Secrieru I.; Țâmbală C.; Guțuleac E.; Popcova O.; Spătaru A.,2024,decision intelligence; integrated approach; knowledge based systems; medical diagnostics; scoring systems,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/EHB64556.2024.10805691,"2024 12th E-Health and Bioengineering Conference, EHB 2024",Conference paper,
Design and Validation of an Explainable Artificial Intelligence–Based Decision Intelligence Model for Cyber Risk–Aware Quality Systems and Ethical Human Resource Management: Investigating the Moderating Influence of Corporate Social Responsibility in Digitally Transformed Organizations,Rajeswari M.; Vanitha C.L.; Xudoynazarova S.; Mamadiyarov Z.; Naveen S.; Nematovich K.I.; Isaev F.,2026,CSR Moderation; Cyber Risk–Aware Quality Systems; Decision Intelligence; Ethical HR Management; Explainable AI,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.47750/QAS/27.210.46,Quality - Access to Success,Article,
Navigating the Cyber Cosmos: Bespoke Threat Intelligence for Space Operations,Chan P.H.,2025,Adversary Tactics and Orbital Systems; Cross-Domain Cyber-Physical Resilience; Deception-Based CTI; Digital Twin Applications in CTI; Engineering-Informed CTI; Intelligence-Led Space Cybersecurity,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.52202/083105-0012,"Proceedings of the International Astronautical Congress, IAC",Conference paper,
Advanced Decision-Making with Interval-Valued Probabilistic Linguistic Fuzzy Sets,Zhang X.,2026,autonomous vehicle sensor configurations; hesitancy degrees; interval-valued probabilistic uncertain linguistic q-rung orthopair fuzzy sets; multi-attribute group decision-making,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.17559/TV-20240905001968,Tehnicki Vjesnik,Article,
KDD-2023 Workshop on Decision Intelligence and Analytics for Online Marketplaces,Qin Z.; Song R.; Ye J.; Zhu H.; Jordan M.I.,2023,decision intelligence; two-sided marketplace,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1145/3580305.3599202,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,Conference paper,
DEVELOPING COMPETITIVE INTELLIGENCE CAPABILITIES THROUGH PROJECT MANAGEMENT TRAINING: A STRUCTURAL MODEL FOR FUTURE SKILLS AND EMPLOYABILITY; [DESENVOLVIMENTO DE COMPETÊNCIAS EM INTELIGÊNCIA COMPETITIVA ATRAVÉS DA FORMAÇÃO EM GESTÃO DE PROJETOS: UM MODELO ESTRUTURAL PARA AS COMPETÊNCIAS FUTURAS E A EMPREGABILIDADE],Lei A.; Bamroongkhan P.; Ponathong C.,2026,Competitive Intelligence; Employability; Future Skills; Intelligence Capability Development; Project Management Training,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.37497/eagleSustainable.v16i.657,Journal of Sustainable Competitive Intelligence,Article,
Can decision intelligence help organizations retain employees? Serial multiple mediation of job characteristics and meaningful work,O’Callaghan M.,2023,decision intelligence; employee retention; intention to leave; job characteristics; meaningful work; serial multiple mediation,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1080/23311908.2023.2258475,Cogent Psychology,Article,
Knowledge-based and Data-driven Integrating Methodologies for Collective Intelligence Decision Making: A Survey; [知识和数据协同驱动的群体智能决策方法研究综述],Pu Z.-Q.; Yi J.-Q.; Liu Z.; Qiu T.-H.; Sun J.-L.; Li F.-M.,2022,Collective intelligence (CI); Decision intelligence; Knowledge and data integrating; Multi-agent,Review,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.16383/j.aas.c210118,Zidonghua Xuebao/Acta Automatica Sinica,Review,
Intelligent Web based Student Performance Prediction using Machine Learning in Java,Yarram V.K.; Parimi S.K.; Cherukuri R.; Jegajothi B.,2025,Academic Outcome Prediction; Adaptive Learning; Educational Data Mining; Hybrid Neuro-Decision Intelligence; Java; Machine Learning; Student Performance Prediction; Web-Based Analytics,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/ICAAIC64647.2025.11331046,"4th International Conference on Applied Artificial Intelligence and Computing, ICAAIC 2025",Conference paper,
"Real-Time AI–Driven Decision Intelligence For Enterprise Healthcare Operations: Cloud-Native Architecture, Workflow Integration, And Measured Operational Outcomes",Manne T.A.K.; Jindal M.; Saini S.S.; Sivagnanam A.M.; Surianarayanan G.; Jakku P.C.,2026,Artificial Intelligence; Cloud-Native Architecture; Decision Intelligence; Enterprise Systems; Healthcare Operations; Real-Time Analytics; Workflow Automation,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.25258/ijddt.16.12s.115,International Journal of Drug Delivery Technology,Article,
Cognitive Enterprise Framework Integrating Hybrid Systems for Smarter Decision Intelligence in Dynamic Management Scenarios,Dhatchayani K.; Vezhaventhan D.; Raj M.D.B.; Harikishore S.; Velan V.A.S.; Santhosh R.K.,2025,Bayesian Networks; Cognitive Enterprise; Decision Intelligence; Dynamic Management Scenarios; Hybrid Systems; LSTM-RNN; Metaheuristics; Operational Efficiency; Optimization Algorithms; Predictive Analytics,Conference Paper,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1109/ICEARS64219.2025.10940279,"3rd International Conference on Electronics and Renewable Systems, ICEARS 2025 - Proceedings",Conference paper,
Learning risk preferences from investment portfolios using inverse optimization,Yu S.; Wang H.; Dong C.,2023,Inverse optimization; Mutual funds; Portfolio optimization; Risk preference,Article,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1016/j.ribaf.2023.101879,Research in International Business and Finance,Article,
A bibliometric and systematic review analysis of adopting decision intelligence analytics for rational decision-making,Annu; Tripathi R.,2024,Artificial intelligence; Behavioral biases; Financial markets; Investment decisions,Review,Scopus,lexical-DI-scopus_export_May 17-2026_de87dcc4-c204-42db-b81d-0c77454d1867.csv,10.1108/QRFM-01-2023-0005,Qualitative Research in Financial Markets,Review,
